Squad,Median Standard SoT/90,Mean Standard SoT/90,StdDev Standard SoT/90,Median Standard G/Sh,Mean Standard G/Sh,StdDev Standard G/Sh,Median Standard Dist,Mean Standard Dist,StdDev Standard Dist,Median Tackles Tkl,Mean Tackles Tkl,StdDev Tackles Tkl,Median Tackles TklW,Mean Tackles TklW,StdDev Tackles TklW,Median Blocks,Mean Blocks,StdDev Blocks
Arsenal,0.22,0.4090909090909091,0.40970266908610325,0.14,0.13714285714285715,0.1296974501346444,15.0,14.642857142857142,4.969262664477641,19.5,24.636363636363637,20.726209435778593,12.0,14.681818181818182,12.635499363137344,10.0,13.681818181818182,11.167070484395772
Aston Villa,0.19,0.444074074074074,0.6826771917591419,0.05,0.075,0.08156086017841817,16.45,16.783333333333335,4.554087191186346,11.0,21.814814814814813,20.81980757510471,6.0,12.518518518518519,12.710898928358748,11.0,11.185185185185185,9.156910114716801
Bournemouth,0.15,0.5382608695652175,0.6496058397486688,0.065,0.06000000000000001,0.056661506472996934,16.450000000000003,15.804999999999998,4.375948017587913,21.0,27.956521739130434,23.433616608449036,10.0,16.130434782608695,14.50800515021742,16.0,18.82608695652174,16.694180188733828
Brentford,0.17,0.31523809523809526,0.3816624038023531,0.05,0.07833333333333332,0.0867213251472446,15.3,15.93333333333333,4.311680442158732,25.0,27.523809523809526,22.234250712850766,17.0,16.523809523809526,12.890380318745631,17.0,21.19047619047619,19.307042879786245
Brighton,0.255,0.32499999999999996,0.30817202987941655,0.055,0.08125,0.09142887470834793,16.1,17.224999999999998,3.8800773188172424,17.0,24.23076923076923,19.614907988176125,11.0,14.76923076923077,12.027660428554482,12.5,15.346153846153847,12.24726029017856
Chelsea,0.31,0.47291666666666665,0.5014889063462977,0.07,0.07857142857142858,0.08070227470683304,15.1,15.40952380952381,4.628056261747989,12.5,21.75,24.612209765992517,9.0,13.666666666666666,15.196300083634966,9.0,13.333333333333334,14.211650660382615
Crystal Palace,0.34,0.490952380952381,0.46433721326106053,0.0,0.05952380952380952,0.08393307991943287,17.7,18.123809523809523,5.705340021585458,21.0,33.142857142857146,29.93540665213305,14.0,19.61904761904762,18.89305742985023,19.0,21.047619047619047,18.017980437541247
Everton,0.19,0.3357142857142857,0.36752648106730246,0.05,0.0825,0.1082334222142612,17.05,17.115000000000002,5.421426788314367,28.0,31.80952380952381,28.573797520838998,16.0,18.666666666666668,17.22594941747285,15.0,16.857142857142858,14.495812203135477
Fulham,0.26,0.5125,0.577935299602227,0.05,0.07631578947368421,0.09458743904837995,15.6,16.452631578947372,4.481984731623138,24.0,29.45,23.69204841069545,12.0,17.8,14.930012162014295,14.0,14.8,11.005261899368149
Ipswich Town,0.07,0.27620689655172415,0.38799313131902086,0.07,0.06956521739130436,0.07882536860159847,16.0,16.57391304347826,5.406579946636096,12.0,18.551724137931036,16.8535418212666,8.0,10.620689655172415,9.619228485187692,8.0,13.517241379310345,14.196631113590628
Leicester City,0.2,0.2656,0.27427297837495157,0.0,0.05238095238095238,0.07161736953454531,16.8,17.761904761904763,5.9536943312934865,21.0,25.92,22.75763608110473,11.0,15.16,13.804226405947809,17.0,17.8,14.285773809399803
Liverpool,0.35,0.4842857142857144,0.4350812731958413,0.07500000000000001,0.07555555555555554,0.07039570693980958,14.6,15.488888888888889,4.028850206563668,26.0,28.476190476190474,23.932444604801756,16.0,17.61904761904762,14.66791120260888,9.0,15.952380952380953,14.796878692738515
Manchester City,0.33,0.46360000000000007,0.5136704520734411,0.10500000000000001,0.13272727272727272,0.21026472697829138,17.85,17.027272727272727,4.839537740438185,15.0,18.44,17.05891751157343,7.0,11.2,10.88959748261309,11.0,12.44,9.600694419328914
Manchester Utd,0.185,0.36599999999999994,0.45842007538636587,0.02,0.05374999999999999,0.06863973370780412,16.05,15.799999999999999,5.37069342134579,13.0,25.1,27.822528703341753,8.5,15.133333333333333,17.010611968422236,8.0,11.6,11.180648306414263
Newcastle Utd,0.3,0.3830434782608696,0.4077703763662795,0.05,0.08476190476190476,0.10740665936612347,15.0,15.63809523809524,3.639982993157549,22.0,24.434782608695652,22.0223565887786,15.0,14.956521739130435,13.69299177372918,17.0,17.130434782608695,14.194443047852747
Nott'ham Forest,0.27,0.43285714285714283,0.4089882988196955,0.08,0.08263157894736843,0.08102414628184461,18.6,18.60526315789474,6.073116871756355,21.0,29.904761904761905,25.972879628383065,13.0,18.095238095238095,15.984069450251905,11.0,19.0,18.143869488066763
Southampton,0.14,0.2158620689655172,0.28653742265414617,0.05,0.0704,0.09650043177796322,18.1,17.312,6.087303727157589,13.0,20.413793103448278,19.729450867347865,7.0,11.827586206896552,11.313926202179966,8.0,13.379310344827585,14.915030274150226
Tottenham,0.29,0.40185185185185185,0.39576641359652304,0.055,0.07458333333333333,0.08091751928684067,16.9,16.40833333333333,5.073196116904974,14.0,22.85185185185185,20.77665795236365,9.0,14.481481481481481,14.00101746404489,15.0,15.148148148148149,12.249658405609972
West Ham,0.23,0.3836,0.4092358733053592,0.0,0.04695652173913044,0.06182341293839882,16.7,17.791304347826085,5.591707581400276,17.0,23.6,20.816659994661325,11.0,14.0,12.328828005937952,14.0,16.64,13.409822270758601
Wolves,0.23,0.34956521739130436,0.40170634073875816,0.07,0.0980952380952381,0.11775478961040388,18.1,18.047619047619047,5.670856994107597,21.0,32.08695652173913,28.195604176212647,13.0,18.91304347826087,17.58075663765838,16.0,18.043478260869566,12.607639317888202
All players,0.22,0.3880538302277433,0.4466509089218258,0.06,0.0782051282051282,0.09891133985145567,16.3,16.711421911421912,5.062011262351455,18.0,25.22153209109731,22.99193869491504,11.0,15.082815734989648,14.107374794427816,12.0,15.619047619047619,13.918844860282613
